h1_con_name,h1_identities
"FreeId(228,70)","[['f000', 'g000', 'g001', 'g002', 'h000', 'h001', 'h002', 'h100', 'h101', 'h102', 'h200', 'h201', 'h202'], ['f001', 'f010', 'f100', 'g100', 'g101', 'g102'], ['f002', 'f020', 'f200', 'g200', 'g201', 'g202'], ['f011', 'f101', 'f110', 'g010', 'g011', 'g012'], ['f012', 'f021', 'f102', 'f120', 'f201', 'f210'], ['f022', 'f202', 'f220', 'g020', 'g021', 'g022'], ['f111', 'g110', 'g111', 'g112', 'h010', 'h011', 'h012', 'h110', 'h111', 'h112', 'h210', 'h211', 'h212'], ['f112', 'f121', 'f211', 'g210', 'g211', 'g212'], ['f122', 'f212', 'f221', 'g120', 'g121', 'g122'], ['f222', 'g220', 'g221', 'g222', 'h020', 'h021', 'h022', 'h120', 'h121', 'h122', 'h220', 'h221', 'h222'], ['g012', 'M00011'], ['f012', 'M01212'], ['h012', 'O00011'], ['g012', 'O01212'], ['f012', 'P012'], ['f012', 'P021'], ['h012', 'L112'], ['h012', 'L121']]"
"FreeId(247,85)","[['f000', 'g000', 'g001', 'g002', 'h000', 'h001', 'h002', 'h010', 'h011', 'h012', 'h020', 'h021', 'h022'], ['f001', 'f100', 'g010', 'g011', 'g012'], ['f002', 'f200', 'g020', 'g021', 'g022'], ['f011', 'f110', 'g100', 'g101', 'g102'], ['f012', 'f210'], ['f021', 'f120'], ['f022', 'f220', 'g200', 'g201', 'g202'], ['f102', 'f201'], ['f111', 'g110', 'g111', 'g112', 'h100', 'h101', 'h102', 'h110', 'h111', 'h112', 'h120', 'h121', 'h122'], ['f112', 'f211', 'g120', 'g121', 'g122'], ['f122', 'f221', 'g210', 'g211', 'g212'], ['f222', 'g220', 'g221', 'g222', 'h200', 'h201', 'h202', 'h210', 'h211', 'h212', 'h220', 'h221', 'h222'], ['h012', 'M0'], ['h012', 'M0'], ['h012', 'O00111'], ['g012', 'O02012'], ['g012', 'P00111'], ['f012', 'P02012'], ['f012', 'L021'], ['f012', 'L201']]"
"FreeId(146,242)","[['f000', 'f010', 'f020', 'g000', 'g001', 'g002', 'g010', 'g011', 'g012', 'g020', 'g021', 'g022'], ['f001', 'f100'], ['f002', 'f200'], ['f011', 'f110'], ['f022', 'f220'], ['f101', 'f111', 'f121', 'g100', 'g101', 'g102', 'g110', 'g111', 'g112', 'g120', 'g121', 'g122'], ['f112', 'f211'], ['f122', 'f221'], ['f202', 'f212', 'f222', 'g200', 'g201', 'g202', 'g210', 'g211', 'g212', 'g220', 'g221', 'g222'], ['g012', 'M00111'], ['f012', 'M12012'], ['f012', 'O0021'], ['f012', 'O0201'], ['f012', 'P0021'], ['g012', 'P0201'], ['g012', 'L002'], ['g012', 'L022']]"
"FreeId(101,94)","[['f000', 'f100', 'f200', 'g000', 'g001', 'g002', 'h000', 'h010', 'h020'], ['f001', 'f101', 'f201'], ['f002', 'f102', 'f202'], ['f010', 'f110', 'f210'], ['f011', 'f111', 'f211', 'g110', 'g111', 'g112', 'h101', 'h111', 'h121'], ['f012', 'f112', 'f212'], ['f020', 'f120', 'f220'], ['f021', 'f121', 'f221'], ['f022', 'f122', 'f222', 'g220', 'g221', 'g222', 'h202', 'h212', 'h222'], ['g010', 'g011', 'g012', 'h001', 'h011', 'h021'], ['g020', 'g021', 'g022', 'h002', 'h012', 'h022'], ['g100', 'g101', 'g102', 'h100', 'h110', 'h120'], ['g120', 'g121', 'g122', 'h102', 'h112', 'h122'], ['g200', 'g201', 'g202', 'h200', 'h210', 'h220'], ['g210', 'g211', 'g212', 'h201', 'h211', 'h221'], ['h012', 'M02'], ['h012', 'M02'], ['g012', 'O011'], ['f012', 'O212'], ['f012', 'P0112'], ['f012', 'P0121'], ['h012', 'L0112'], ['h012', 'L0121'], ['h012', 'S0112'], ['g012', 'S0121']]"
"FreeId(239,128)","[['f000', 'f010', 'f020', 'f100', 'f110', 'f120', 'f200', 'f210', 'f220', 'g000', 'g001', 'g002', 'g100', 'g101', 'g102', 'g200', 'g201', 'g202', 'h000', 'h100', 'h200', 'i000', 'i100', 'i200', 'j000', 'j100', 'j200'], ['f001', 'f011', 'f021', 'f101', 'f111', 'f121', 'f201', 'f211', 'f221', 'g010', 'g011', 'g012', 'g110', 'g111', 'g112', 'g210', 'g211', 'g212', 'h011', 'h111', 'h211', 'i011', 'i111', 'i211', 'j011', 'j111', 'j211'], ['f002', 'f012', 'f022', 'f102', 'f112', 'f122', 'f202', 'f212', 'f222', 'g020', 'g021', 'g022', 'g120', 'g121', 'g122', 'g220', 'g221', 'g222', 'h022', 'h122', 'h222', 'i022', 'i122', 'i222', 'j022', 'j122', 'j222'], ['h001', 'h010', 'i001', 'i010', 'j001', 'j010'], ['h002', 'h020', 'i002', 'i020', 'j002', 'j020'], ['h012', 'h021'], ['h101', 'h110', 'i101', 'i110', 'j101', 'j110'], ['h102', 'h120'], ['h112', 'h121', 'i112', 'i121', 'j112', 'j121'], ['h201', 'h210'], ['h202', 'h220', 'i202', 'i220', 'j202', 'j220'], ['h212', 'h221', 'i212', 'i221', 'j212', 'j221'], ['i012', 'j021'], ['i021', 'j012'], ['i102', 'j120'], ['i120', 'j102'], ['i201', 'j210'], ['i210', 'j201'], ['g012', 'M00011'], ['i012', 'M01201'], ['g012', 'O00011'], ['j012', 'O01202'], ['g012', 'P12'], ['f012', 'P21'], ['h012', 'L0112'], ['i012', 'L0122'], ['j012', 'S0112'], ['h012', 'S0122'], ['g012', 'T0112'], ['i012', 'T0122']]"
"FreeId(218,217)","[['f000', 'f010', 'f020', 'g000', 'g010', 'g020', 'h000', 'h001', 'h002', 'h100', 'h101', 'h102', 'h200', 'h201', 'h202'], ['f001', 'f100', 'g001', 'g100'], ['f002', 'f200', 'g002', 'g200'], ['f011', 'f110', 'g011', 'g110'], ['f012', 'g210'], ['f021', 'g120'], ['f022', 'f220', 'g022', 'g220'], ['f101', 'f111', 'f121', 'g101', 'g111', 'g121', 'h010', 'h011', 'h012', 'h110', 'h111', 'h112', 'h210', 'h211', 'h212'], ['f102', 'g201'], ['f112', 'f211', 'g112', 'g211'], ['f120', 'g021'], ['f122', 'f221', 'g122', 'g221'], ['f201', 'g102'], ['f202', 'f212', 'f222', 'g202', 'g212', 'g222', 'h020', 'h021', 'h022', 'h120', 'h121', 'h122', 'h220', 'h221', 'h222'], ['f210', 'g012'], ['h012', 'M00011'], ['g012', 'M01202'], ['h012', 'O021'], ['h012', 'O201'], ['g012', 'P021'], ['f012', 'P201'], ['f012', 'L000112'], ['f012', 'L012010'], ['g012', 'S000112'], ['g012', 'S012010']]"
"FreeId(230,234)","[['f000', 'f001', 'f002', 'g000', 'g010', 'g020', 'h000', 'h010', 'h020', 'i000', 'i001', 'i002'], ['f010', 'f011', 'f012', 'g100', 'g110', 'g120', 'h001', 'h011', 'h021', 'i100', 'i101', 'i102'], ['f020', 'f021', 'f022', 'g200', 'g210', 'g220', 'h002', 'h012', 'h022', 'i200', 'i201', 'i202'], ['f100', 'f101', 'f102', 'g001', 'g011', 'g021', 'h100', 'h110', 'h120', 'i010', 'i011', 'i012'], ['f110', 'f111', 'f112', 'g101', 'g111', 'g121', 'h101', 'h111', 'h121', 'i110', 'i111', 'i112'], ['f120', 'f121', 'f122', 'g201', 'g211', 'g221', 'h102', 'h112', 'h122', 'i210', 'i211', 'i212'], ['f200', 'f201', 'f202', 'g002', 'g012', 'g022', 'h200', 'h210', 'h220', 'i020', 'i021', 'i022'], ['f210', 'f211', 'f212', 'g102', 'g112', 'g122', 'h201', 'h211', 'h221', 'i120', 'i121', 'i122'], ['f220', 'f221', 'f222', 'g202', 'g212', 'g222', 'h202', 'h212', 'h222', 'i220', 'i221', 'i222'], ['g012', 'M02'], ['g012', 'M02'], ['h012', 'O02'], ['h012', 'O02'], ['f012', 'P01'], ['i012', 'P10'], ['g012', 'L0112'], ['i012', 'L0121'], ['g012', 'S0112'], ['g012', 'S0121'], ['h012', 'T0112'], ['f012', 'T0121'], ['h012', 'H0112'], ['h012', 'H0121']]"
"FreeId(18,28)","[['f000', 'f001', 'f002', 'g000', 'g010', 'g020', 'g100', 'g110', 'g120', 'g200', 'g210', 'g220', 'h000', 'h010', 'h020', 'h100', 'h200'], ['f010', 'f011', 'f012', 'h110'], ['f020', 'f021', 'f022', 'h220'], ['f100', 'f101', 'f102', 'h001'], ['f110', 'f111', 'f112', 'g001', 'g011', 'g021', 'g101', 'g111', 'g121', 'g201', 'g211', 'g221', 'h011', 'h101', 'h111', 'h121', 'h211'], ['f120', 'f121', 'f122', 'h221'], ['f200', 'f201', 'f202', 'h002'], ['f210', 'f211', 'f212', 'h112'], ['f220', 'f221', 'f222', 'g002', 'g012', 'g022', 'g102', 'g112', 'g122', 'g202', 'g212', 'g222', 'h022', 'h122', 'h202', 'h212', 'h222'], ['h012', 'h102'], ['h021', 'h201'], ['h120', 'h210'], ['g012', 'M2'], ['g012', 'M2'], ['f012', 'O00011'], ['h012', 'O01201'], ['f012', 'P00111'], ['h012', 'P01012'], ['g012', 'L11122'], ['h012', 'L01202'], ['h012', 'S01122'], ['g012', 'S11212']]"
FreeNNId7,"[['f000', 'f100', 'f200', 'g000', 'g100', 'g200', 'h000', 'h001', 'h002', 'h100', 'h101', 'h102', 'h200', 'h201', 'h202'], ['f001', 'f010', 'g001', 'g010'], ['f002', 'f020', 'g002', 'g020'], ['f011', 'f111', 'f211', 'g011', 'g111', 'g211', 'h010', 'h011', 'h012', 'h110', 'h111', 'h112', 'h210', 'h211', 'h212'], ['f012', 'g021'], ['f021', 'g012'], ['f022', 'f122', 'f222', 'g022', 'g122', 'g222', 'h020', 'h021', 'h022', 'h120', 'h121', 'h122', 'h220', 'h221', 'h222'], ['f101', 'f110', 'g101', 'g110'], ['f102', 'g120'], ['f112', 'f121', 'g112', 'g121'], ['f120', 'g102'], ['f201', 'g210'], ['f202', 'f220', 'g202', 'g220'], ['f210', 'g201'], ['f212', 'f221', 'g212', 'g221'], ['h012', 'M1'], ['h012', 'M1'], ['h012', 'O00011'], ['h012', 'O01201'], ['f012', 'P012'], ['g012', 'P021'], ['g012', 'L012'], ['f012', 'L021'], ['h012', 'S0112'], ['g012', 'S0121'], ['h012', 'T0112'], ['h012', 'T0121'], ['h012', 'H0112'], ['f012', 'H0121'], ['g012', 'D0112'], ['g012', 'D0121'], ['g012', 'A0112'], ['f012', 'A0121'], ['g012', 'U0112'], ['h012', 'U0121'], ['f012', 'J0112'], ['h012', 'J0121'], ['f012', 'X0112'], ['g012', 'X0121'], ['f012', 'F0112'], ['f012', 'F0121'], ['f012', 'V012'], ['f012', 'V012'], ['h012', 'B012'], ['h012', 'B012'], ['g012', 'N012'], ['g012', 'N012']]"
FreeNNId6,"[['f000', 'f001', 'f002', 'f010', 'f011', 'f012', 'f020', 'f021', 'f022', 'g000', 'g001', 'g002', 'h000', 'h001', 'h002'], ['f100', 'f101', 'f102', 'f110', 'f111', 'f112', 'f120', 'f121', 'f122', 'g110', 'g111', 'g112', 'h110', 'h111', 'h112'], ['f200', 'f201', 'f202', 'f210', 'f211', 'f212', 'f220', 'f221', 'f222', 'g220', 'g221', 'g222', 'h220', 'h221', 'h222'], ['g010', 'g100', 'h010', 'h100'], ['g011', 'g101', 'h011', 'h101'], ['g012', 'h102'], ['g020', 'g200', 'h020', 'h200'], ['g021', 'h201'], ['g022', 'g202', 'h022', 'h202'], ['g102', 'h012'], ['g120', 'h210'], ['g121', 'g211', 'h121', 'h211'], ['g122', 'g212', 'h122', 'h212'], ['g201', 'h021'], ['g210', 'h120'], ['f012', 'M0'], ['f012', 'M0'], ['g012', 'O012'], ['h012', 'O102'], ['h012', 'P012'], ['g012', 'P102'], ['h012', 'L0012'], ['g012', 'L0102'], ['h012', 'S0012'], ['f012', 'S0102'], ['h012', 'T0012'], ['h012', 'T0102'], ['f012', 'H0012'], ['h012', 'H0102'], ['f012', 'D0012'], ['g012', 'D0102'], ['f012', 'A0012'], ['f012', 'A0102'], ['g012', 'U0012'], ['f012', 'U0102'], ['g012', 'J0012'], ['h012', 'J0102'], ['g012', 'X0012'], ['g012', 'X0102'], ['f012', 'F012'], ['f012', 'F012'], ['h012', 'V012'], ['h012', 'V012'], ['g012', 'B012'], ['g012', 'B012']]"
